Transporter,Transporter_Superfamily
1.A.17.2.4,Anoctamin Superfamily
1.A.17.2.5,Anoctamin Superfamily
1.A.17.2.6,Anoctamin Superfamily
1.A.17.3.1,Anoctamin Superfamily
1.A.17.3.10,Anoctamin Superfamily
1.A.17.3.11,Anoctamin Superfamily
1.A.17.3.12,Anoctamin Superfamily
1.A.17.3.13,Anoctamin Superfamily
1.A.17.3.14,Anoctamin Superfamily
1.A.17.3.15,Anoctamin Superfamily
1.A.17.3.2,Anoctamin Superfamily
1.A.17.3.3,Anoctamin Superfamily
1.A.17.3.4,Anoctamin Superfamily
1.A.17.3.5,Anoctamin Superfamily
1.A.17.3.6,Anoctamin Superfamily
1.A.17.3.7,Anoctamin Superfamily
1.A.17.3.8,Anoctamin Superfamily
1.A.17.3.9,Anoctamin Superfamily
1.A.17.4.1,Anoctamin Superfamily
1.A.17.4.10,Anoctamin Superfamily
1.A.17.4.11,Anoctamin Superfamily
1.A.17.4.12,Anoctamin Superfamily
1.A.17.4.13,Anoctamin Superfamily
1.A.17.4.14,Anoctamin Superfamily
1.A.17.4.15,Anoctamin Superfamily
1.A.17.4.16,Anoctamin Superfamily
1.A.17.4.17,Anoctamin Superfamily
1.A.17.4.18,Anoctamin Superfamily
1.A.17.4.2,Anoctamin Superfamily
1.A.17.4.3,Anoctamin Superfamily
1.A.17.4.4,Anoctamin Superfamily
1.A.17.4.5,Anoctamin Superfamily
1.A.17.4.6,Anoctamin Superfamily
1.A.17.4.7,Anoctamin Superfamily
1.A.17.4.8,Anoctamin Superfamily
1.A.17.4.9,Anoctamin Superfamily
1.A.17.5.1,Anoctamin Superfamily
1.A.17.5.10,Anoctamin Superfamily
1.A.17.5.11,Anoctamin Superfamily
1.A.17.5.12,Anoctamin Superfamily
1.A.17.5.13,Anoctamin Superfamily
1.A.17.5.14,Anoctamin Superfamily
1.A.17.5.15,Anoctamin Superfamily
1.A.17.5.16,Anoctamin Superfamily
1.A.17.5.17,Anoctamin Superfamily
1.A.17.5.18,Anoctamin Superfamily
1.A.17.5.19,Anoctamin Superfamily
1.A.17.5.2,Anoctamin Superfamily
1.A.17.5.20,Anoctamin Superfamily
1.A.17.5.21,Anoctamin Superfamily
1.A.17.5.3,Anoctamin Superfamily
1.A.17.5.4,Anoctamin Superfamily
1.A.17.5.5,Anoctamin Superfamily
1.A.17.5.6,Anoctamin Superfamily
1.A.17.5.7,Anoctamin Superfamily
1.A.17.5.8,Anoctamin Superfamily
1.A.17.5.9,Anoctamin Superfamily
1.A.17.6.1,Anoctamin Superfamily
1.A.17.6.10,Anoctamin Superfamily
1.A.17.6.2,Anoctamin Superfamily
1.A.17.6.3,Anoctamin Superfamily
1.A.17.6.4,Anoctamin Superfamily
1.A.17.6.5,Anoctamin Superfamily
1.A.17.6.6,Anoctamin Superfamily
1.A.17.6.7,Anoctamin Superfamily
1.A.17.6.8,Anoctamin Superfamily
1.A.17.6.9,Anoctamin Superfamily
1.A.17.7.1,Anoctamin Superfamily
1.A.17.7.2,Anoctamin Superfamily
1.A.17.7.3,Anoctamin Superfamily
1.A.17.7.4,Anoctamin Superfamily
1.A.17.7.5,Anoctamin Superfamily
1.A.19.1.1,Influenza A/B Virus M2 Protein (M2) Superfamily
1.A.19.1.2,Influenza A/B Virus M2 Protein (M2) Superfamily
1.A.19.1.3,Influenza A/B Virus M2 Protein (M2) Superfamily
1.A.19.1.4,Influenza A/B Virus M2 Protein (M2) Superfamily
1.A.19.2.1,Influenza A/B Virus M2 Protein (M2) Superfamily
1.A.2.1.1,VIC Superfamily
1.A.2.1.10,VIC Superfamily
1.A.2.1.11,VIC Superfamily
1.A.2.1.12,VIC Superfamily
1.A.2.1.13,VIC Superfamily
1.A.2.1.14,VIC Superfamily
1.A.2.1.15,VIC Superfamily
1.A.2.1.16,VIC Superfamily
1.A.2.1.17,VIC Superfamily
1.A.2.1.18,VIC Superfamily
1.A.2.1.19,VIC Superfamily
1.A.2.1.2,VIC Superfamily
1.A.2.1.3,VIC Superfamily
1.A.2.1.4,VIC Superfamily
1.A.2.1.5,VIC Superfamily
1.A.2.1.6,VIC Superfamily
1.A.2.1.7,VIC Superfamily
1.A.2.1.8,VIC Superfamily
1.A.2.1.9,VIC Superfamily
1.A.2.2.1,VIC Superfamily
1.A.2.2.2,VIC Superfamily
1.A.2.2.3,VIC Superfamily
1.A.2.2.4,VIC Superfamily
1.A.2.2.5,VIC Superfamily
1.A.2.2.6,VIC Superfamily
1.A.21.1.1,Bcl-2 Superfamily
1.A.21.1.10,Bcl-2 Superfamily
1.A.21.1.11,Bcl-2 Superfamily
1.A.21.1.12,Bcl-2 Superfamily
1.A.21.1.13,Bcl-2 Superfamily
1.A.21.1.2,Bcl-2 Superfamily
1.A.21.1.3,Bcl-2 Superfamily
1.A.21.1.4,Bcl-2 Superfamily
1.A.21.1.5,Bcl-2 Superfamily
1.A.21.1.6,Bcl-2 Superfamily
1.A.21.1.7,Bcl-2 Superfamily
1.A.21.1.8,Bcl-2 Superfamily
1.A.21.1.9,Bcl-2 Superfamily
1.A.21.2.1,Bcl-2 Superfamily
1.A.21.2.2,Bcl-2 Superfamily
1.A.21.2.3,Bcl-2 Superfamily
1.A.21.2.4,Bcl-2 Superfamily
1.A.21.2.5,Bcl-2 Superfamily
1.A.24.1.1,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.10,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.11,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.12,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.13,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.14,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.15,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.16,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.2,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.3,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.4,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.5,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.6,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.7,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.8,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.1.9,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.2.1,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
1.A.24.2.2,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily
