Name,miRNA
Inhbb,mmu-miR-503-5p
Arg1,mmu-miR-29b-1-5p
Arg1,mmu-miR-676-3p
Arg1,mmu-miR-382-3p
Arg1,mmu-miR-669b-5p
Ass1,mmu-miR-22-3p
Ass1,mmu-miR-127-5p
Ass1,mmu-miR-470-5p
Ass1,mmu-miR-411-3p
Cps1,mmu-miR-501-3p
Gstm1,mmu-miR-96-5p
Runx1,mmu-miR-126a-3p
Tal1,mmu-miR-126a-3p
Sfpi1,mmu-miR-126a-3p
Sfpi1,mmu-miR-126a-5p
Tal1,mmu-miR-126a-5p
Runx1,mmu-miR-126a-5p
Igf2,mmu-miR-125b-5p
Ctnnb1,mmu-miR-200a-3p
Suz12,mmu-miR-200b-3p
Bmi1,mmu-miR-200b-3p
Hes1,mmu-miR-9-5p
Hes1,mmu-miR-9-5p
Stat1,mmu-miR-146a-5p
Dusp1,mmu-miR-101a-3p
Gzmb,mmu-miR-223-3p
Akt1,mmu-miR-101a-3p
Mdm4,mmu-miR-16-5p
Vegfa,mmu-miR-16-5p
Vegfa,mmu-miR-16-5p
Vegfa,mmu-miR-16-5p
Jun,mmu-miR-16-5p
Jag1,mmu-miR-16-5p
Cdkn1a,mmu-miR-291a-3p
Cdkn1a,mmu-miR-291b-3p
Cdkn1a,mmu-miR-294-3p
Cdkn1a,mmu-miR-295-3p
Cdkn1a,mmu-miR-302d-3p
Mmp9,mmu-miR-212-3p
Mmp9,mmu-miR-132-3p
Dyrk1a,mmu-miR-199b-3p
